"","X","Name","Age","Photo","Nationality","Flag","Overall","Potential","Club","Club.Logo","Value","Wage","Special","Preferred.Foot","International.Reputation","Weak.Foot","Skill.Moves","Work.Rate","Position","Jersey.Number","Contract.Valid.Until","Height","Weight","LS","ST","RS","LW","LF","CF","RF","RW","LAM","CAM","RAM","LM","LCM","CM","RCM","RM","LWB","LDM","CDM","RDM","RWB","LB","LCB","CB","RCB","RB","Crossing","Finishing","Heading.Accuracy","Short.Passing","Volleys","Dribbling","Curve","FK.Accuracy","Long.Passing","Ball.Control","Acceleration","Sprint.Speed","Agility","Reactions","Balance","Shot.Power","Jumping","Stamina","Strength","Long.Shots","Aggression","Interceptions","Positioning","Vision","Penalties","Composure","Marking","Standing.Tackle","Sliding.Tackle","GK.Diving","GK.Handling","GK.Kicking","GK.Positioning","GK.Reflexes","League","Country","Values","Wages","Class","Name.Pos","Speed","photo_path"
"4058",4058,"T. Hübers",21,"https://cdn.sofifa.com/players/234/727/20_120.png","Germany","https://cdn.sofifa.org/flags/21.png",66,75,"Hannover 96","https://cdn.sofifa.com/teams/485/light_60.png","€875K","€6K",1575,"Right",1,4,2,"Medium/ Medium","CB",15,"2021",190,82,"51+2","51+2","51+2","51+2","52+2","52+2","52+2","51+2","53+2","53+2","53+2","53+2","56+2","56+2","56+2","53+2","58+2","62+2","62+2","62+2","58+2","60+2","65+2","65+2","65+2","60+2",40,36,62,63,35,52,38,39,60,60,63,65,48,55,50,51,68,57,78,35,68,59,42,53,40,58,66,68,63,14,11,14,9,13,"Bundesliga","Germany",875000,6000,"Defender","T. Hübers, CB",58.6666666666667,NA
"4059",4059,"T. Hubočan",32,"https://cdn.sofifa.com/players/186/253/20_120.png","Slovakia","https://cdn.sofifa.org/flags/43.png",71,71,"Olympique de Marseille","https://cdn.sofifa.com/teams/219/light_60.png","€1.4M","€23K",1774,"Right",1,4,2,"Medium/ Medium","CB",25,"2019",183,70,"56+2","56+2","56+2","54+2","54+2","54+2","54+2","54+2","55+2","55+2","55+2","56+2","58+2","58+2","58+2","56+2","65+2","66+2","66+2","66+2","65+2","66+2","70+2","70+2","70+2","66+2",59,45,70,63,52,50,38,32,57,56,65,53,74,63,70,67,83,76,77,57,75,66,42,54,61,73,69,75,74,9,15,7,8,12,"Ligue 1","France",1400000,23000,"Defender","T. Hubočan, CB",64,NA
"4060",4060,"T. Inui",30,"https://cdn.sofifa.com/players/205/114/20_120.png","Japan","https://cdn.sofifa.org/flags/163.png",80,80,"Real Betis","https://cdn.sofifa.com/teams/449/light_60.png","€14M","€30K",1974,"Right",1,4,4,"Medium/ Medium","LM",8,"2021",170,63,"71+2","71+2","71+2","79+2","77+2","77+2","77+2","79+2","78+2","78+2","78+2","78+2","73+2","73+2","73+2","78+2","65+2","61+2","61+2","61+2","65+2","60+2","51+2","51+2","51+2","60+2",77,70,41,76,68,88,85,65,70,82,88,77,94,76,93,72,63,76,51,77,49,44,75,74,51,76,65,39,31,11,12,11,15,8,"La Liga","Spain",14000000,30000,"Midfielder","T. Inui, LM",86.3333333333333,NA
"4061",4061,"T. Jacobsen",21,"https://cdn.sofifa.com/players/238/793/20_120.png","Germany","https://cdn.sofifa.org/flags/21.png",61,70,"SV Werder Bremen","https://cdn.sofifa.com/teams/38/light_60.png","€325K","€3K",1599,"Left",1,3,2,"Medium/ Medium","LB",36,"2021",183,76,"56+2","56+2","56+2","59+2","57+2","57+2","57+2","59+2","57+2","57+2","57+2","60+2","58+2","58+2","58+2","60+2","61+2","59+2","59+2","59+2","61+2","59+2","57+2","57+2","57+2","59+2",65,47,45,62,40,60,28,33,57,64,67,67,66,64,60,60,61,69,67,40,67,59,55,48,43,50,60,54,47,11,9,12,6,6,"Bundesliga","Germany",325000,3000,"Defender","T. Jacobsen, LB",66.6666666666667,NA
"4062",4062,"T. Jantschke",28,"https://cdn.sofifa.com/players/190/520/20_120.png","Germany","https://cdn.sofifa.org/flags/21.png",75,75,"Borussia Mönchengladbach","https://cdn.sofifa.com/teams/23/light_60.png","€5.5M","€24K",1826,"Right",2,3,2,"Medium/ Medium","LCB",24,"2021",178,76,"57+2","57+2","57+2","60+2","59+2","59+2","59+2","60+2","61+2","61+2","61+2","63+2","67+2","67+2","67+2","63+2","73+2","75+2","75+2","75+2","73+2","74+2","76+2","76+2","76+2","74+2",62,35,66,72,37,62,43,40,70,68,64,64,67,80,73,48,84,74,72,44,77,82,52,57,51,80,80,80,79,11,6,7,6,13,"Bundesliga","Germany",5500000,24000,"Defender","T. Jantschke, LCB",65,NA
"4063",4063,"T. Jedvaj",22,"https://cdn.sofifa.com/players/215/930/20_120.png","Croatia","https://cdn.sofifa.org/flags/10.png",76,83,"Bayer 04 Leverkusen","https://cdn.sofifa.com/teams/32/light_60.png","€9.5M","€40K",1812,"Right",2,3,2,"Medium/ Medium","LB",16,"2023",183,82,"61+2","61+2","61+2","60+2","58+2","58+2","58+2","60+2","58+2","58+2","58+2","61+2","60+2","60+2","60+2","61+2","70+2","69+2","69+2","69+2","70+2","71+2","74+2","74+2","74+2","71+2",67,51,74,68,43,60,45,30,60,66,71,68,67,69,66,65,82,69,75,39,83,75,49,39,44,66,74,76,77,15,13,10,10,12,"Bundesliga","Germany",9500000,40000,"Defender","T. Jedvaj, LB",68.6666666666667,NA
"4064",4064,"T. Jibril",20,"https://cdn.sofifa.com/players/245/411/20_120.png","Nigeria","https://cdn.sofifa.org/flags/133.png",69,76,"Portimonense SC","https://cdn.sofifa.com/teams/10031/light_60.png","€1.5M","€4K",1521,"Right",1,3,3,"High/ Medium","RW",14,"2021",178,74,"66+2","66+2","66+2","68+2","67+2","67+2","67+2","68+2","65+2","65+2","65+2","68+2","59+2","59+2","59+2","68+2","48+2","42+2","42+2","42+2","48+2","44+2","32+2","32+2","32+2","44+2",69,73,61,72,41,71,38,32,61,73,74,76,61,61,62,63,58,67,42,64,26,16,68,41,60,62,13,14,12,8,9,11,10,14,"Liga Nos","Portugal",1500000,4000,"Forward","T. Jibril, RW",70.3333333333333,NA
"4065",4065,"T. Johnson",19,"https://cdn.sofifa.com/players/231/536/20_120.png","England","https://cdn.sofifa.org/flags/14.png",60,71,"Southampton","https://cdn.sofifa.com/teams/17/light_60.png","€350K","€3K",1483,"Right",1,3,3,"High/ Medium","RM",51,"2020",175,65,"55+2","55+2","55+2","59+2","57+2","57+2","57+2","59+2","57+2","57+2","57+2","59+2","51+2","51+2","51+2","59+2","46+2","40+2","40+2","40+2","46+2","44+2","35+2","35+2","35+2","44+2",60,58,42,55,54,62,57,49,49,62,76,79,67,45,74,55,49,53,38,42,34,22,53,54,63,50,28,28,29,7,5,12,9,13,"Premier League","UK",350000,3000,"Midfielder","T. Johnson, RM",74,NA
"4066",4066,"T. Kehrer",21,"https://cdn.sofifa.com/players/226/229/20_120.png","Germany","https://cdn.sofifa.org/flags/21.png",77,84,"Paris Saint-Germain","https://cdn.sofifa.com/teams/73/light_60.png","€11M","€43K",1806,"Left",1,5,3,"Medium/ High","RB",4,"2023",185,76,"59+2","59+2","59+2","59+2","59+2","59+2","59+2","59+2","59+2","59+2","59+2","61+2","62+2","62+2","62+2","61+2","71+2","70+2","70+2","70+2","71+2","73+2","75+2","75+2","75+2","73+2",56,37,76,63,32,63,45,38,58,64,74,76,69,76,65,65,78,74,70,40,80,75,48,56,36,68,72,81,85,9,9,14,10,12,"Ligue 1","France",11000000,43000,"Defender","T. Kehrer, RB",73,NA
"4067",4067,"T. Kirschbaum",31,"https://cdn.sofifa.com/players/182/743/20_120.png","Germany","https://cdn.sofifa.org/flags/21.png",69,69,"Bayer 04 Leverkusen","https://cdn.sofifa.com/teams/32/light_60.png","€650K","€17K",1009,"Left",1,1,1,"Medium/ Medium","GK",24,"2019",196,91,"","","","","","","","","","","","","","","","","","","","","","","","","","",11,13,13,31,11,19,18,10,25,19,24,30,27,66,40,23,60,27,66,9,31,7,8,28,20,49,11,13,9,72,67,68,62,71,"Bundesliga","Germany",650000,17000,"Goal Keeper","T. Kirschbaum, GK",27,NA
"4068",4068,"T. Kleindienst",22,"https://cdn.sofifa.com/players/214/096/20_120.png","Germany","https://cdn.sofifa.org/flags/21.png",71,76,"SC Freiburg","https://cdn.sofifa.com/teams/25/light_60.png","€3.2M","€15K",1678,"Right",1,3,3,"Medium/ Medium","ST",34,"2019",193,84,"69+2","69+2","69+2","63+2","65+2","65+2","65+2","63+2","62+2","62+2","62+2","62+2","57+2","57+2","57+2","62+2","49+2","47+2","47+2","47+2","49+2","47+2","46+2","46+2","46+2","47+2",50,71,75,60,68,67,54,39,45,59,64,72,60,68,50,78,76,78,79,69,61,26,71,53,59,64,27,29,22,7,8,12,7,14,"Bundesliga","Germany",3200000,15000,"Forward","T. Kleindienst, ST",65.3333333333333,NA
"4069",4069,"T. Knöll",20,"https://cdn.sofifa.com/players/241/190/20_120.png","Germany","https://cdn.sofifa.org/flags/21.png",64,75,"1. FC Nürnberg","https://cdn.sofifa.com/teams/171/light_60.png","€775K","€4K",1470,"Right",1,3,2,"Medium/ Medium","ST",19,"2020",183,80,"62+2","62+2","62+2","57+2","60+2","60+2","60+2","57+2","57+2","57+2","57+2","55+2","51+2","51+2","51+2","55+2","40+2","40+2","40+2","40+2","40+2","39+2","37+2","37+2","37+2","39+2",32,67,63,54,54,57,47,40,39,62,55,63,65,63,65,63,66,59,68,59,33,19,65,49,52,51,20,23,17,7,12,8,12,12,"Bundesliga","Germany",775000,4000,"Forward","T. Knöll, ST",61,NA
"4070",4070,"T. Kolodziejczak",26,"https://cdn.sofifa.com/players/190/034/20_120.png","France","https://cdn.sofifa.org/flags/18.png",75,76,"AS Saint-Étienne","https://cdn.sofifa.com/teams/1819/light_60.png","€6.5M","€42K",1830,"Left",2,2,2,"High/ Medium","LB",5,"Jun 30, 2019",185,75,"57+2","57+2","57+2","61+2","59+2","59+2","59+2","61+2","61+2","61+2","61+2","64+2","65+2","65+2","65+2","64+2","72+2","72+2","72+2","72+2","72+2","73+2","74+2","74+2","74+2","73+2",74,26,74,71,30,55,59,34,67,65,78,77,70,69,54,47,79,78,80,43,75,75,62,62,49,55,72,77,75,14,6,10,16,7,"Ligue 1","France",6500000,42000,"Defender","T. Kolodziejczak, LB",75,NA
"4071",4071,"T. Kongolo",24,"https://cdn.sofifa.com/players/203/485/20_120.png","Netherlands","https://cdn.sofifa.org/flags/34.png",78,83,"Huddersfield Town","https://cdn.sofifa.com/teams/1939/light_60.png","€12M","€39K",1884,"Left",2,4,3,"Medium/ Medium","LCB",5,"2022",188,70,"59+2","59+2","59+2","61+2","60+2","60+2","60+2","61+2","61+2","61+2","61+2","64+2","65+2","65+2","65+2","64+2","73+2","72+2","72+2","72+2","73+2","74+2","76+2","76+2","76+2","74+2",67,27,74,72,40,67,63,44,65,72,72,74,71,70,62,67,91,71,79,52,75,76,49,49,42,73,77,80,79,8,14,12,11,12,"Premier League","UK",12000000,39000,"Defender","T. Kongolo, LCB",72.3333333333333,NA
"4072",4072,"T. Koopmeiners",20,"https://cdn.sofifa.com/players/240/679/20_120.png","Netherlands","https://cdn.sofifa.org/flags/34.png",74,83,"AZ Alkmaar","https://cdn.sofifa.com/teams/1906/light_60.png","€8.5M","€10K",2024,"Left",1,3,3,"Medium/ Medium","LCB",8,"2022",183,77,"69+2","69+2","69+2","71+2","71+2","71+2","71+2","71+2","71+2","71+2","71+2","72+2","72+2","72+2","72+2","72+2","71+2","71+2","71+2","71+2","71+2","70+2","68+2","68+2","68+2","70+2",76,65,66,73,64,67,67,66,74,75,69,72,67,75,69,75,76,80,74,75,69,69,67,76,67,72,66,66,61,14,8,14,12,10,"Eredivisie","Netherlands",8500000,10000,"Defender","T. Koopmeiners, LCB",69.3333333333333,NA
"4073",4073,"T. Koubek",25,"https://cdn.sofifa.com/players/200/332/20_120.png","Czech Republic","https://cdn.sofifa.org/flags/12.png",76,79,"Stade Rennais FC","https://cdn.sofifa.com/teams/74/light_60.png","€7M","€21K",1059,"Right",1,2,1,"Medium/ Medium","GK",16,"2021",198,95,"","","","","","","","","","","","","","","","","","","","","","","","","","",13,12,13,14,19,17,18,16,20,20,22,27,25,65,29,22,53,28,79,17,31,11,12,39,20,54,14,12,16,78,76,71,74,76,"Ligue 1","France",7000000,21000,"Goal Keeper","T. Koubek, GK",24.6666666666667,NA
"4074",4074,"T. Kraft",29,"https://cdn.sofifa.com/players/179/954/20_120.png","Germany","https://cdn.sofifa.org/flags/21.png",76,76,"Hertha BSC","https://cdn.sofifa.com/teams/166/light_60.png","€5M","€21K",1184,"Right",2,4,1,"Medium/ Medium","GK",1,"2019",188,78,"","","","","","","","","","","","","","","","","","","","","","","","","","",14,14,13,35,13,13,11,12,28,21,45,50,45,74,42,23,73,35,68,16,40,20,13,25,18,48,20,19,20,80,75,60,65,84,"Bundesliga","Germany",5000000,21000,"Goal Keeper","T. Kraft, GK",46.6666666666667,NA
"4075",4075,"T. Kroos",28,"https://cdn.sofifa.com/players/182/521/20_120.png","Germany","https://cdn.sofifa.org/flags/21.png",90,90,"Real Madrid","https://cdn.sofifa.com/teams/243/light_60.png","€76.5M","€355K",2190,"Right",4,5,3,"Medium/ Medium","LCM",8,"2022",183,76,"78+3","78+3","78+3","81+3","82+3","82+3","82+3","81+3","84+3","84+3","84+3","82+3","86+3","86+3","86+3","82+3","79+3","82+3","82+3","82+3","79+3","77+3","72+3","72+3","72+3","77+3",88,76,54,92,82,81,86,84,93,90,64,62,70,89,71,87,30,75,73,92,60,82,79,86,73,85,72,79,69,10,11,13,7,10,"La Liga","Spain",76500000,355000,"Midfielder","T. Kroos, LCM",65.3333333333333,NA
"4076",4076,"T. Kucz",18,"https://cdn.sofifa.com/players/244/367/20_120.png","Poland","https://cdn.sofifa.org/flags/37.png",59,75,"Bayer 04 Leverkusen","https://cdn.sofifa.com/teams/32/light_60.png","€260K","€2K",866,"Right",1,3,1,"Medium/ Medium","GK",40,"2019",183,83,"","","","","","","","","","","","","","","","","","","","","","","","","","",12,6,10,17,10,9,13,11,19,12,22,28,26,48,40,21,41,26,58,10,26,15,6,35,16,28,13,11,12,63,51,57,58,64,"Bundesliga","Germany",260000,2000,"Goal Keeper","T. Kucz, GK",25.3333333333333,NA
"4077",4077,"T. Lam",24,"https://cdn.sofifa.com/players/208/018/20_120.png","Finland","https://cdn.sofifa.org/flags/17.png",67,70,"PEC Zwolle","https://cdn.sofifa.com/teams/1914/light_60.png","€825K","€3K",1755,"Right",1,4,2,"Medium/ Medium","LCM",19,"2020",188,76,"59+2","59+2","59+2","59+2","60+2","60+2","60+2","59+2","60+2","60+2","60+2","60+2","63+2","63+2","63+2","60+2","64+2","66+2","66+2","66+2","64+2","64+2","66+2","66+2","66+2","64+2",49,51,59,67,36,61,45,54,64,67,64,63,58,67,70,66,64,72,71,56,74,67,50,57,40,61,62,67,68,8,15,15,16,12,"Eredivisie","Netherlands",825000,3000,"Midfielder","T. Lam, LCM",61.6666666666667,NA
"4078",4078,"T. Leibold",24,"https://cdn.sofifa.com/players/221/201/20_120.png","Germany","https://cdn.sofifa.org/flags/21.png",73,76,"1. FC Nürnberg","https://cdn.sofifa.com/teams/171/light_60.png","€4.2M","€15K",1987,"Left",1,2,3,"High/ Medium","LB",23,"2021",175,72,"65+2","65+2","65+2","70+2","68+2","68+2","68+2","70+2","69+2","69+2","69+2","71+2","68+2","68+2","68+2","71+2","73+2","69+2","69+2","69+2","73+2","72+2","69+2","69+2","69+2","72+2",73,55,54,72,42,74,72,52,62,69,86,85,85,71,85,64,78,78,65,54,75,70,69,65,61,67,72,70,70,15,10,14,13,7,"Bundesliga","Germany",4200000,15000,"Defender","T. Leibold, LB",85.3333333333333,NA
"4079",4079,"T. Lemar",22,"https://cdn.sofifa.com/players/213/565/20_120.png","France","https://cdn.sofifa.org/flags/18.png",83,89,"Atlético Madrid","https://cdn.sofifa.com/teams/240/light_60.png","€35.5M","€64K",2173,"Left",3,2,4,"High/ Medium","LM",8,"2023",170,62,"76+3","76+3","76+3","82+3","81+3","81+3","81+3","82+3","82+3","82+3","82+3","82+3","79+3","79+3","79+3","82+3","74+3","71+3","71+3","71+3","74+3","72+3","64+3","64+3","64+3","72+3",83,75,54,84,78,85,85,81,75,86,86,84,87,80,86,79,71,79,63,76,63,66,77,85,68,80,55,59,63,11,15,13,7,14,"La Liga","Spain",35500000,64000,"Midfielder","T. Lemar, LM",85.6666666666667,NA
"4080",4080,"T. Letschert",25,"https://cdn.sofifa.com/players/209/839/20_120.png","Netherlands","https://cdn.sofifa.org/flags/34.png",72,75,"FC Utrecht","https://cdn.sofifa.com/teams/1903/light_60.png","€3.3M","€28K",1894,"Right",1,2,2,"Medium/ Medium","RCB",15,"Jun 30, 2019",188,84,"61+2","61+2","61+2","60+2","60+2","60+2","60+2","60+2","60+2","60+2","60+2","61+2","62+2","62+2","62+2","61+2","66+2","67+2","67+2","67+2","66+2","67+2","71+2","71+2","71+2","67+2",65,52,71,66,38,57,69,68,68,65,69,67,67,63,70,72,84,63,81,67,80,67,49,55,56,65,70,71,69,9,12,12,11,11,"Eredivisie","Netherlands",3300000,28000,"Defender","T. Letschert, RCB",67.6666666666667,NA
"4081",4081,"T. Malacia",18,"https://cdn.sofifa.com/players/238/041/20_120.png","Netherlands","https://cdn.sofifa.org/flags/34.png",70,80,"Feyenoord","https://cdn.sofifa.com/teams/246/light_60.png","€2.2M","€3K",1768,"Left",1,3,3,"High/ High","LB",15,"2023",170,67,"56+2","56+2","56+2","63+2","61+2","61+2","61+2","63+2","61+2","61+2","61+2","65+2","60+2","60+2","60+2","65+2","68+2","65+2","65+2","65+2","68+2","68+2","66+2","66+2","66+2","68+2",64,34,42,63,36,70,36,35,52,70,85,83,80,64,83,58,81,72,67,39,78,63,60,52,46,64,65,70,74,9,9,12,8,8,"Eredivisie","Netherlands",2200000,3000,"Defender","T. Malacia, LB",82.6666666666667,NA
"4082",4082,"T. Mangani",31,"https://cdn.sofifa.com/players/178/160/20_120.png","France","https://cdn.sofifa.org/flags/18.png",76,76,"Angers SCO","https://cdn.sofifa.com/teams/1530/light_60.png","€6.5M","€23K",2054,"Left",2,3,3,"Medium/ Medium","CM",5,"2020",183,79,"69+2","69+2","69+2","70+2","70+2","70+2","70+2","70+2","72+2","72+2","72+2","71+2","75+2","75+2","75+2","71+2","72+2","74+2","74+2","74+2","72+2","71+2","71+2","71+2","71+2","71+2",68,63,67,79,67,70,74,78,78,78,61,60,67,71,61,77,68,80,72,74,71,74,66,78,75,74,71,72,72,13,12,9,13,15,"Ligue 1","France",6500000,23000,"Midfielder","T. Mangani, CM",62.6666666666667,NA
"4083",4083,"T. Matavž",29,"https://cdn.sofifa.com/players/181/780/20_120.png","Slovenia","https://cdn.sofifa.org/flags/44.png",74,74,"Vitesse","https://cdn.sofifa.com/teams/1909/light_60.png","€5.5M","€15K",1717,"Right",2,4,3,"Medium/ Low","ST",9,"2020",188,81,"72+2","72+2","72+2","66+2","70+2","70+2","70+2","66+2","67+2","67+2","67+2","63+2","60+2","60+2","60+2","63+2","46+2","46+2","46+2","46+2","46+2","44+2","44+2","44+2","44+2","44+2",43,79,75,65,74,69,69,55,36,74,52,55,61,73,53,75,72,67,76,69,56,20,78,62,70,77,29,23,22,10,15,16,12,12,"Eredivisie","Netherlands",5500000,15000,"Forward","T. Matavž, ST",56,NA
"4084",4084,"T. Matthews",17,"https://cdn.sofifa.com/players/244/690/20_120.png","South Africa","https://cdn.sofifa.org/flags/140.png",59,79,"Borussia Dortmund","https://cdn.sofifa.com/teams/22/light_60.png","€300K","€3K",1458,"Left",1,4,3,"Medium/ Medium","CAM",50,"2021",175,70,"50+2","50+2","50+2","60+2","56+2","56+2","56+2","60+2","58+2","58+2","58+2","59+2","51+2","51+2","51+2","59+2","47+2","41+2","41+2","41+2","47+2","43+2","34+2","34+2","34+2","43+2",57,49,33,56,48,70,53,44,47,66,78,77,87,48,87,39,61,53,34,37,32,24,45,54,45,50,35,22,24,10,15,10,10,10,"Bundesliga","Germany",300000,3000,"Midfielder","T. Matthews, CAM",80.6666666666667,NA
"4085",4085,"T. Meißner",27,"https://cdn.sofifa.com/players/209/491/20_120.png","Germany","https://cdn.sofifa.org/flags/21.png",68,69,"Willem II","https://cdn.sofifa.com/teams/1907/light_60.png","€850K","€4K",1475,"Right",1,3,2,"Low/ Medium","LCB",25,"2021",190,82,"47+2","47+2","47+2","42+2","44+2","44+2","44+2","42+2","44+2","44+2","44+2","44+2","50+2","50+2","50+2","44+2","55+2","61+2","61+2","61+2","55+2","57+2","66+2","66+2","66+2","57+2",32,31,70,57,38,44,30,31,51,54,45,42,42,62,56,59,69,63,82,38,72,66,20,35,39,62,68,66,62,8,9,12,13,9,"Eredivisie","Netherlands",850000,4000,"Defender","T. Meißner, LCB",43,NA
"4086",4086,"T. Meunier",26,"https://cdn.sofifa.com/players/202/371/20_120.png","Belgium","https://cdn.sofifa.org/flags/7.png",82,83,"Paris Saint-Germain","https://cdn.sofifa.com/teams/73/light_60.png","€21M","€87K",2162,"Right",2,4,3,"High/ High","RM",15,"2020",190,90,"78+2","78+2","78+2","78+2","78+2","78+2","78+2","78+2","77+2","77+2","77+2","79+2","78+2","78+2","78+2","79+2","81+2","79+2","79+2","79+2","81+2","80+2","78+2","78+2","78+2","80+2",83,76,75,82,79,75,74,56,74,82,74,81,63,80,49,77,72,92,85,78,73,76,80,71,65,78,77,82,80,8,13,15,6,9,"Ligue 1","France",21000000,87000,"Midfielder","T. Meunier, RM",72.6666666666667,NA
"4087",4087,"T. Mings",25,"https://cdn.sofifa.com/players/212/419/20_120.png","England","https://cdn.sofifa.org/flags/14.png",70,72,"Bournemouth","https://cdn.sofifa.com/teams/1943/light_60.png","€1.8M","€27K",1692,"Left",1,3,3,"Medium/ Medium","LB",26,"2021",196,77,"55+2","55+2","55+2","60+2","58+2","58+2","58+2","60+2","59+2","59+2","59+2","63+2","61+2","61+2","61+2","63+2","68+2","67+2","67+2","67+2","68+2","68+2","69+2","69+2","69+2","68+2",70,35,63,65,30,69,45,37,59,65,62,74,58,65,48,41,62,71,81,30,73,70,57,54,45,59,70,71,70,7,10,13,7,15,"Premier League","UK",1800000,27000,"Defender","T. Mings, LB",64.6666666666667,NA
"4088",4088,"T. Mitchell",18,"https://cdn.sofifa.com/players/240/947/20_120.png","England","https://cdn.sofifa.org/flags/14.png",55,72,"Crystal Palace","https://cdn.sofifa.com/teams/1799/light_60.png","€160K","€3K",1406,"Left",1,3,2,"Medium/ Medium","LB",38,"2019",175,65,"44+2","44+2","44+2","49+2","46+2","46+2","46+2","49+2","45+2","45+2","45+2","49+2","44+2","44+2","44+2","49+2","53+2","49+2","49+2","49+2","53+2","54+2","54+2","54+2","54+2","54+2",54,30,51,38,36,66,37,39,33,47,60,52,56,56,60,29,54,47,47,31,62,56,48,38,45,43,56,62,59,9,12,14,8,14,"Premier League","UK",160000,3000,"Defender","T. Mitchell, LB",56,NA
"4089",4089,"T. Monconduit",27,"https://cdn.sofifa.com/players/203/128/20_120.png","France","https://cdn.sofifa.org/flags/18.png",76,78,"Amiens SC","https://cdn.sofifa.com/teams/1816/light_60.png","€7.5M","€18K",1931,"Right",1,3,2,"Medium/ Medium","RDM",6,"2021",183,83,"64+2","64+2","64+2","65+2","66+2","66+2","66+2","65+2","68+2","68+2","68+2","68+2","71+2","71+2","71+2","68+2","72+2","75+2","75+2","75+2","72+2","72+2","74+2","74+2","74+2","72+2",58,49,68,76,39,70,65,58,74,71,62,69,65,73,61,65,69,85,75,57,75,76,64,68,52,72,75,76,75,12,9,14,13,13,"Ligue 1","France",7500000,18000,"Midfielder","T. Monconduit, RDM",65.3333333333333,NA
"4090",4090,"T. Moulin",28,"https://cdn.sofifa.com/players/201/257/20_120.png","France","https://cdn.sofifa.org/flags/18.png",72,73,"MKE Ankaragücü","https://cdn.sofifa.com/teams/101007/light_60.png","€2.8M","€15K",1973,"Right",1,4,3,"High/ Medium","CDM",90,"2021",175,75,"64+2","64+2","64+2","65+2","66+2","66+2","66+2","65+2","68+2","68+2","68+2","67+2","71+2","71+2","71+2","67+2","68+2","70+2","70+2","70+2","68+2","67+2","67+2","67+2","67+2","67+2",67,55,62,73,57,65,66,69,70,70,68,41,75,68,82,72,74,90,70,70,75,65,67,76,72,66,67,69,63,10,12,15,10,8,"Süper Lig","Turkey",2800000,15000,"Midfielder","T. Moulin, CDM",61.3333333333333,NA
"4091",4091,"T. Müller",28,"https://cdn.sofifa.com/players/189/596/20_120.png","Germany","https://cdn.sofifa.org/flags/21.png",86,86,"FC Bayern München","https://cdn.sofifa.com/teams/21/light_60.png","€45M","€135K",2097,"Right",4,4,3,"High/ High","CAM",13,"2021",185,75,"82+3","82+3","82+3","81+3","82+3","82+3","82+3","81+3","82+3","82+3","82+3","81+3","79+3","79+3","79+3","81+3","68+3","66+3","66+3","66+3","68+3","66+3","59+3","59+3","59+3","66+3",79,87,82,83,84,75,81,59,72,82,73,75,75,91,72,78,81,87,68,80,57,58,92,85,60,83,44,41,44,6,7,11,14,14,"Bundesliga","Germany",45000000,135000,"Midfielder","T. Müller, CAM",74.3333333333333,"imgs/players/4091.png"
"4092",4092,"T. Müsel",18,"https://cdn.sofifa.com/players/239/666/20_120.png","Germany","https://cdn.sofifa.org/flags/21.png",59,76,"Borussia Mönchengladbach","https://cdn.sofifa.com/teams/23/light_60.png","€325K","€2K",1488,"Right",1,3,2,"Medium/ Medium","ST",26,"2020",185,76,"57+2","57+2","57+2","59+2","58+2","58+2","58+2","59+2","58+2","58+2","58+2","58+2","52+2","52+2","52+2","58+2","45+2","42+2","42+2","42+2","45+2","43+2","37+2","37+2","37+2","43+2",53,58,51,62,53,64,52,56,45,65,73,68,67,46,64,55,53,54,61,52,35,27,55,48,49,41,22,24,26,13,13,8,8,8,"Bundesliga","Germany",325000,2000,"Forward","T. Müsel, ST",69.3333333333333,NA
"4093",4093,"T. Ndombele",21,"https://cdn.sofifa.com/players/235/569/20_120.png","France","https://cdn.sofifa.org/flags/18.png",80,89,"Olympique Lyonnais","https://cdn.sofifa.com/teams/66/light_60.png","€22.5M","€51K",2096,"Right",1,3,4,"High/ High","CM",17,"2023",180,76,"72+2","72+2","72+2","77+2","76+2","76+2","76+2","77+2","78+2","78+2","78+2","78+2","78+2","78+2","78+2","78+2","75+2","76+2","76+2","76+2","75+2","73+2","72+2","72+2","72+2","73+2",67,59,56,82,59,86,67,63,79,84,84,76,83,79,83,80,63,78,78,70,81,73,70,79,60,84,69,73,69,8,10,13,8,7,"Ligue 1","France",22500000,51000,"Midfielder","T. Ndombele, CM",81,NA
"4094",4094,"T. Necid",28,"https://cdn.sofifa.com/players/181/281/20_120.png","Czech Republic","https://cdn.sofifa.org/flags/12.png",72,72,"ADO Den Haag","https://cdn.sofifa.com/teams/650/light_60.png","€3.2M","€9K",1752,"Right",2,3,3,"Medium/ Low","ST",9,"2020",190,84,"71+2","71+2","71+2","65+2","68+2","68+2","68+2","65+2","66+2","66+2","66+2","64+2","61+2","61+2","61+2","64+2","50+2","50+2","50+2","50+2","50+2","48+2","49+2","49+2","49+2","48+2",47,69,77,64,69,64,56,60,48,67,65,67,57,72,54,76,65,67,80,67,71,25,76,68,78,68,30,32,31,12,12,7,9,10,"Eredivisie","Netherlands",3200000,9000,"Forward","T. Necid, ST",63,NA
